Title,Track,Country,R1 Length,R2 Length,INC Modif,DNF Modif
Australian Event,Adelaide Street Circuit,Australia,4,3,20,5
Bahrain Event,Bahrain International Circuit,Bahrain,4,3,20,5
Spanish Event,Circuito de Jerez Angel Nieto,Spain,4,3,20,5
Italian Event,Autodromo Nazionale del Mugello,Italy,4,3,20,5
British Event,Silverstone Circuit,United Kingdom,4,3,20,5
French Event,Circuit de Magny-Cours Nevers,France,4,3,20,5
German Event,Nurburgring GP Circuit,Germany,4,3,20,5
South African Event,Kyalami Grand Prix Circuit,South Africa,4,3,20,5
Brazilian Event,Autodromo Jose Carlos Pace,Brazil,4,3,20,5
American Event,Daytona International Speedway RC,United States,4,3,20,5
